sample,lbl
HG00096,0
HG00097,0
HG00099,1
HG00100,0
HG00101,1
HG00102,0
HG00103,1
HG00105,1
HG00106,1
HG00107,1
HG00108,1
HG00109,0
HG00110,0
HG00111,0
HG00112,0
HG00113,0
HG00114,1
HG00115,1
HG00116,1
HG00117,0
HG00118,1
HG00119,0
HG00120,1
HG00121,0
HG00122,1
HG00123,0
HG00125,1
HG00126,0
HG00127,1
HG00128,1
HG00129,1
HG00130,0
HG00131,1
HG00132,0
HG00133,1
HG00136,0
HG00137,0
HG00138,0
HG00139,0
HG00140,0
HG00141,1
HG00142,0
HG00143,1
HG00145,0
HG00146,0
HG00148,0
HG00149,1
HG00150,1
HG00151,0
HG00154,0
HG00155,1
HG00157,1
HG00158,1
HG00159,1
HG00160,1
HG00171,0
HG00173,0
HG00174,0
HG00176,0
HG00177,1
HG00178,0
HG00179,1
HG00180,0
HG00181,0
HG00182,1
HG00183,1
HG00185,1
HG00186,1
HG00187,1
HG00188,1
HG00189,1
HG00190,0
HG00231,0
HG00232,0
HG00233,0
HG00234,0
HG00235,1
HG00236,1
HG00237,0
HG00238,0
HG00239,0
HG00240,1
HG00242,0
HG00243,0
HG00244,1
HG00245,1
HG00246,1
HG00250,0
HG00251,0
HG00252,0
HG00253,1
HG00254,0
HG00255,1
HG00256,0
HG00257,1
HG00258,0
HG00259,1
HG00260,1
HG00261,1
HG00262,1
HG00263,0
HG00264,1
HG00265,0
HG00266,1
HG00267,1
HG00268,1
HG00269,0
HG00271,0
HG00272,1
HG00273,1
HG00274,1
HG00275,0
HG00276,0
HG00277,1
HG00278,1
HG00280,0
HG00281,1
HG00282,0
HG00284,1
HG00285,0
HG00288,0
HG00290,0
HG00304,1
HG00306,0
HG00308,1
HG00309,0
HG00310,0
HG00311,1
HG00313,0
HG00315,0
HG00318,1
HG00319,1
HG00320,1
HG00321,0
HG00323,0
HG00324,1
HG00325,1
HG00326,0
HG00327,0
HG00328,1
HG00329,0
HG00330,0
HG00331,1
HG00332,0
HG00334,0
HG00335,0
HG00336,1
HG00337,0
HG00338,1
HG00339,1
HG00341,0
HG00342,0
HG00343,0
HG00344,0
HG00345,1
HG00346,1
HG00349,1
HG00350,0
HG00351,0
HG00353,0
HG00355,0
HG00356,0
HG00357,0
HG00358,0
HG00360,0
HG00361,1
HG00362,1
HG00364,1
HG00365,0
HG00366,0
HG00367,0
HG00368,0
HG00369,0
HG00371,1
HG00372,0
HG00373,0
HG00375,0
HG00376,0
HG00378,1
